meid;name;siteIds
10;banner;
11;email;
12;angebot;
13;reminder;
14;feedback;
15;kontakt;
16;aftersale;
17;post;
18;ad;
19;kurzurl;
20;qrcode;
21;textlink;
22;teaser;
23;logo;
24;mailing;
25;newsletter;
26;opener;
27;produktseite;
28;kampagnenelement;
29;text ad;
30;inbox ad;
31;video;
